combination_id,max_depth,eta,gamma,lambda,min_child_weight,train_auc,train_precision,train_recall,train_f1,test_auc,test_precision,test_recall,test_f1,rank_train_auc,rank_train_precision,rank_test_auc,rank_test_precision,avg_rank
122,4,0.05,0.1,1.5,10,0.850452809994238,0.793708963200489,0.735635437305406,0.763569592361366,0.734262048495353,0.641983695652174,0.750595710881652,0.692054192603442,119,115,30,82,86.5
123,5,0.05,0.1,1.5,10,0.855560691231736,0.799420378279439,0.741720917067648,0.76949053002496,0.732990261014456,0.64,0.737092930897538,0.685123661867848,63,56,59,106,71
124,3,0.1,0.1,1.5,10,0.842190454651548,0.788764732894535,0.729266911972828,0.75784984190014,0.737614638347574,0.635430038510911,0.786338363780778,0.702875399361022,208,160,2,157,131.75
125,4,0.1,0.1,1.5,10,0.8495095670314,0.791317593297791,0.735210868949901,0.762233145037048,0.730819047210841,0.631857237276933,0.75933280381255,0.68975468975469,128,137,128,198.5,147.875
126,5,0.1,0.1,1.5,10,0.846807996213099,0.791340396130815,0.729408434757996,0.759113336770013,0.735157456532193,0.652601969057665,0.737092930897538,0.692279000372995,145,136,16,7,76
127,3,0.03,0.2,1.5,10,0.843623245387579,0.786668691163073,0.733229549957543,0.75900966891298,0.729639010590862,0.634703196347032,0.772835583796664,0.696991404011461,183,197,167,168,178.75
128,4,0.03,0.2,1.5,10,0.842804515572692,0.788529366661555,0.727710161335975,0.756899977920071,0.73172450096238,0.645631067961165,0.739475774424146,0.689374305812662,195,165,96,38,123.5
129,5,0.03,0.2,1.5,10,0.849760003565081,0.792649310872894,0.732521936031701,0.761400411885849,0.733793248476065,0.647346368715084,0.736298649722002,0.688963210702341,126,122,39.5,25,78.125
130,3,0.05,0.2,1.5,10,0.848526522819231,0.787929208894267,0.737192187942259,0.761716750749433,0.730223671186345,0.628347485303723,0.764098490865767,0.689605734767025,132,172,144.5,227,168.875
131,4,0.05,0.2,1.5,10,0.851898368806165,0.795239548367409,0.737616756297764,0.765345080763583,0.731252352371525,0.634615384615385,0.760127084988086,0.69172388868811,101,97,111,169,119.5
132,5,0.05,0.2,1.5,10,0.860269974184838,0.804204388522326,0.741720917067648,0.771699919016418,0.732751842718933,0.643337819650067,0.75933280381255,0.696539162112933,26,24,68,58,44
133,3,0.1,0.2,1.5,10,0.838963027861222,0.784163864261694,0.726011887913954,0.753968253968254,0.729376482580061,0.629438347320852,0.774424146147736,0.694444444444445,230,224,171,219,211
134,4,0.1,0.2,1.5,10,0.862448184067186,0.807745083091935,0.749787715822247,0.777688073394495,0.726804779617111,0.635802469135803,0.736298649722002,0.68237026131763,19,13,220,154,101.5
